SR_PARSED_PRICE,COMP_TITLE_LENGTH,COMP_DESCRIPTION_LENGTH,COMP_VIDEO_COUNT,COMP_IMG_COUNT,COMP_HAS_RICH_CONTENT,RETAIL_SALES_VALUE,SEARCH_TERM_IN_NAME,SEARCH_TERM_IN_DESC,SEARCH_TERM_COUNT_IN_NAME,SEARCH_TERM_COUNT_IN_DESC,SEARCH_TERM_FW_POS_IN_TITLE,Retailer_Margin,HOLIDAY_FLAG,FB_FEEDBACK_COMMENT_COUNT,FB_FEEDBACK_AVG_RATING,AV_OOS_AVAILABLE,AV_OOS_OOS,GROWTH_16_WEEK
1.25,23,92,0,1,0,2579,0,0,0,0,3,0.340152685,0,3,3.7,1,0,0.060800065
1.25,18,441,0,1,0,24477.5,0,1,0,1,0,1.44954903,0,3,2.3,1,0,0.061997101
5,17,111,0,1,0,2144,0,1,0,2,0,0.405705838,0,11,1.5,1,0,0.014430577
3.5,28,110,0,1,0,115.5,1,1,1,2,2,0.424134591,1,1,3,1,0,0.370118624
2.99,26,247,0,1,0,7121.37,1,1,1,2,3,0.434287556,0,4,4,1,0,0.036672883
3.5,28,109,0,1,0,24321.78,1,1,1,2,2,0.486470134,1,1,3,1,0,0.032983785
3.5,31,98,0,1,0,4729,0,0,0,0,4,0.386259313,0,6,4.3,1,0,0.010991813
1.35,36,180,0,1,0,3455.85,0,0,0,0,0,0.40453861,0,3,5,1,0,0.025956907
1.8,30,246,0,1,0,17415.81,1,0,1,0,3,0.435394605,1,3,5,1,0,0.069905498
3.5,26,565,0,1,0,13185.5,1,1,1,2,2,0.49657866,1,5,4.2,1,0,0.055344038
1.25,18,441,0,1,0,35224.5,0,1,0,1,0,0.412018944,0,4,3,1,0,0.061563599
3,18,101,0,3,0,6988,0,0,0,0,2,0.444931501,0,1,5,1,0,0.028431133
3,18,101,0,3,0,3122.86,1,0,1,0,2,0.627342677,1,1,5,1,0,0.018557639
1.25,18,159,0,3,0,21030.5,0,0,0,0,3,0.526212873,0,3,2.3,1,0,0.033877985
1.35,32,119,0,4,0,1157.1,1,0,1,0,3,0.381226467,0,4,4,1,0,0.066907776
1.25,18,441,0,1,0,68875,0,0,0,0,0,0.43004807,0,4,3,1,0,0.161209209
1.5,33,384,0,1,0,10156.25,1,1,1,2,3,0.339795198,0,102,4.8,1,0,0.025607366
4,34,274,0,1,0,14115.5,0,0,0,0,3,0.451887166,0,92,4.6,1,0,0.012977
1,33,307,0,1,0,5636,1,0,1,0,3,0,0,2,1,1,0,0.049435662
1.99,36,308,0,1,0,16402.73,1,1,1,4,2,0.431596339,1,2,4,1,0,0.038180457
2.99,26,247,0,1,0,6184.29,1,1,1,2,3,0.27637792,0,4,4,1,0,0.041889451
3.5,26,247,0,1,0,30170.72,0,0,0,0,3,0.588725699,0,4,4,1,0,0.123833695
1.25,24,220,0,1,0,9573.75,0,0,0,0,0,0.215313075,0,6,4.8,1,0,0.064062509
