SR_PARSED_PRICE,COMP_TITLE_LENGTH,COMP_DESCRIPTION_LENGTH,COMP_IMG_COUNT,RETAIL_SALES_VALUE,RETAIL_SALES_UNIT,SEARCH_TERM_IN_NAME,SEARCH_TERM_IN_DESC,SEARCH_TERM_COUNT_IN_NAME,SEARCH_TERM_COUNT_IN_DESC,SEARCH_TERM_FW_POS_IN_TITLE,Retailer_Margin,LAST_1_WEEK_SALES,LAST_2_WEEK_SALES,LAST_4_WEEK_SALES,LAST_8_WEEK_SALES,LAST_16_WEEK_SALES,HOLIDAY_FLAG,FB_FEEDBACK_COMMENT_COUNT,FB_FEEDBACK_AVG_RATING,AV_OOS
4.0,26,565,1,9373.8,2333,1,1,1,3,3,0.608623466319453,7000,10479,15219,27468,65853,1,5.0,4.2,0
1.35,27,186,1,1354.2,1000,0,0,0,0,2,0.528388125782512,2549,5210,8457,17646,31483,1,4.0,4.0,0
3.5,26,102,1,1726.5,493,1,0,1,0,3,0.458198943105768,748,1116,2496,13109,182611,0,5.0,4.4,0
1.0,33,307,1,4836.95,4832,0,0,0,0,3,0.0,9240,12538,16970,17728,17728,1,1.0,1.0,0
3.5,30,110,1,2530.5,723,1,0,0,0,2,0.340207607175041,1365,1901,2673,3059,3059,0,1.0,5.0,0
3.0,18,101,3,2043.0,681,1,0,1,0,2,-2.66513445578231,1318,2173,4092,14153,25702,0,1.0,5.0,0
0.99,35,342,1,2636.92,2653,0,0,0,0,0,0.0,5739,7927,10916,21127,47675,0,6.0,4.2,0
5.0,17,111,1,1230.0,246,0,0,0,0,0,0.440895362168396,583,851,1200,3067,11732,0,11.0,1.5,0
3.49,38,190,1,2332.06,668,0,0,0,0,5,0.509867657761313,1470,4330,11780,21476,32918,0,123.0,4.6,0
1.35,36,92,1,4422.8,3188,1,0,1,0,4,0.420360335157293,6226,8877,12228,27028,51315,0,4.0,4.0,0
1.35,33,95,1,3064.2,2242,0,0,0,0,3,0.432740192551433,4699,9997,15225,25393,43732,1,5.0,4.6,0
1.25,36,182,4,3754.0,2992,0,0,0,0,3,0.239696768221054,5828,8593,13447,21368,41111,0,1.0,5.0,0
3.5,26,247,1,8166.22,2333,1,1,1,2,3,0.380279173170694,6644,10870,34902,62773,91606,1,4.0,4.0,0
1.99,36,308,1,3597.03,1797,0,0,0,0,2,-0.443310949971935,9621,17946,32955,63699,132645,0,2.0,4.0,1
1.99,33,455,1,11592.26,5802,0,0,0,0,4,0.301623244339355,10035,14227,21483,32012,59106,1,3.0,2.7,0
1.0,33,307,1,15513.5999999999,15492,1,0,1,0,3,0.0,20406,24938,33198,48475,50926,0,1.0,1.0,0
3.5,26,247,1,12936.0,4311,1,1,1,2,3,0.520279810071519,8537,23949,40641,64590,96143,0,4.0,4.0,0
3.5,31,98,1,13863.0,6930,0,0,0,0,4,0.397120329264717,11031,16251,23391,27842,31786,0,2.0,5.0,0
1.25,37,165,4,4243.0,3391,0,0,0,0,3,0.389925603178414,6578,9677,15537,27032,47849,0,1.0,4.0,0
3.5,34,274,1,45844.75,14551,1,1,1,1,4,0.463453358543362,30532,41656,60794,88598,116624,1,92.0,4.6,0
1.35,42,94,1,10289.6,7624,0,0,0,0,5,0.427748984163437,15334,23126,39644,70106,124232,0,68.0,4.4,0
3.0,26,109,3,3106.41,1040,0,0,0,0,2,0.550488706646671,2075,3783,6827,8255,62472,1,1.0,5.0,0
1.5,36,180,1,5110.7,3483,0,0,0,0,3,0.382863252788101,6918,10506,16693,25130,49847,0,3.0,5.0,0
1.0,35,342,1,2921.25,2913,0,0,0,0,0,0.0,5624,8530,13481,21774,28976,0,3.0,3.7,0
1.25,36,182,4,2602.25,2076,0,0,0,0,0,0.259922969237217,4353,6894,11996,21689,36421,1,1.0,5.0,0
1.25,43,203,1,1787.7,1430,1,1,1,2,2,0.340406657953616,2459,3072,3147,3150,3150,0,1.0,5.0,0
1.65,48,197,1,26556.6,16004,1,1,1,1,3,0.445718328770876,30928,46562,75616,118598,262700,0,6.0,4.2,0
3.5,26,247,1,33958.32,10100,0,0,0,0,3,0.569441360631252,15187,19799,26263,34696,69603,1,4.0,4.0,0
1.25,24,220,1,11861.25,9489,0,0,0,0,0,0.370365999785292,18683,27131,43050,84548,163442,0,6.0,4.8,0
2.2,30,366,1,6894.8,3134,1,1,1,1,2,0.11555284854878,8662,14301,24145,38140,104210,0,13.0,3.7,0
1.24,39,444,4,334.04,293,1,0,1,0,5,0.0,692,1405,2971,6956,12688,0,,,0
2.99,26,247,1,6980.16,2328,1,1,1,2,3,0.405490815287638,4239,6667,12532,22493,44655,0,4.0,4.0,0
1.25,24,220,1,12643.75,10115,0,0,0,0,4,0.357437179084967,19632,29031,49351,91488,237661,0,6.0,4.8,0
1.5,44,476,1,655.5,437,1,1,1,2,2,0.485639839166791,1122,2364,6691,12431,17811,0,9.0,4.8,0
3.0,30,366,1,9312.0,3104,1,1,1,1,2,-1.82409589178866,6330,10477,19193,61031,112795,1,13.0,3.7,0
1.5,38,368,1,9695.3,6463,1,1,1,0,3,0.372678089280454,11940,14432,26371,42637,168012,0,7.0,4.8,0
1.25,24,220,1,12415.0,9932,0,0,0,0,0,0.33967234074074,19676,29347,48373,86494,162525,0,6.0,4.8,0
3.5,28,111,1,2002.0,572,1,1,1,2,2,0.508917149391149,1058,1427,3070,3272,3272,0,1.0,3.0,0
2.0,44,315,1,10124.0,5062,0,0,0,0,3,0.0,9255,12111,12862,12862,12862,1,1.0,5.0,0
1.5,33,433,1,10176.9,6885,0,0,0,0,3,0.390586449228486,14485,21974,34734,55032,126378,0,5.0,5.0,0
1.25,37,165,4,4243.0,3391,0,0,0,0,3,0.389925603178414,6578,9677,15537,27032,47849,0,1.0,4.0,0
1.25,44,87,4,777.5,622,1,0,0,0,3,0.407694185766455,1202,1917,3302,6082,10624,0,1.0,5.0,0
1.35,27,203,1,4623.3,3421,0,0,0,0,2,0.373859234104855,6627,9859,16012,29028,51076,0,4.0,4.0,0
0.99,33,531,1,5584.75,5613,1,1,1,2,3,0.0,11059,15359,22742,57877,104535,0,4.0,3.0,0
0.99,33,531,1,6623.21,6672,1,1,1,2,3,0.0,12929,18255,30387,51363,93672,1,4.0,3.0,0
3.0,24,111,1,9947.0,4964,0,1,0,2,0,0.402253785494116,9416,11824,13024,13398,28824,1,71.0,4.7,0
1.99,35,128,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4.0,3.0,0
1.35,26,70,3,2565.0,1900,0,0,0,0,2,0.378790659979246,3877,6013,10250,18090,30406,0,,,0
2.5,49,199,1,12349.5,4878,1,0,1,0,2,0.355660514899262,9594,13540,20356,36010,77518,1,6.0,4.3,0
3.5,23,289,4,7387.88,2110,0,0,0,0,3,0.267559687258921,4028,5983,9615,21145,51689,0,91.0,4.6,0
1.5,24,368,1,13945.9,9296,0,0,0,0,0,0.321684614038074,18096,27233,87617,162399,240044,1,6.0,4.8,0
5.0,38,325,4,1610.0,322,0,0,0,0,5,0.448261708333333,632,1952,2924,5564,11090,0,123.0,4.6,0
4.0,34,274,1,14895.02,5591,1,1,1,1,4,0.365469283503526,20142,36123,60689,87948,118184,0,92.0,4.6,0
0.99,30,331,1,3157.99,3182,1,0,1,0,3,0.204061420466196,8490,11775,12421,34187,65024,1,6.0,4.7,0
1.0,33,307,1,15799.5,15750,1,0,1,0,3,0.0,27716,38042,58448,76072,88968,0,1.0,1.0,0
1.8,30,246,1,13349.88,7416,1,1,1,2,3,0.435414023055073,17091,35959,49227,74694,94009,1,3.0,5.0,0
7.0,38,286,1,10647.0,2366,0,0,0,0,5,0.387060571981462,3300,3642,4005,5066,5461,1,2.0,3.0,0
2.0,37,221,1,3728.0,3726,0,0,0,0,5,0.557861793724332,7217,12285,14498,14995,15624,1,2.0,5.0,0
5.0,17,109,1,1450.0,290,0,0,0,0,0,0.470322514778325,1064,2134,7739,15234,22397,0,11.0,1.5,0
1.25,18,159,3,25359.5,20282,0,0,0,0,0,0.382844054047118,40694,59750,96222,167190,344956,1,3.0,2.3,0
1.35,27,186,1,4646.2,3326,0,0,0,0,2,0.353242747723588,6564,9422,13576,20687,37816,1,4.0,4.0,0
1.35,36,182,4,4117.1,3050,0,0,0,0,3,0.282841497646779,5884,8800,14718,25920,43729,0,3.0,5.0,0
3.5,26,565,1,8964.5,2561,1,1,1,3,3,0.49677671044811,6088,10873,19636,31323,51201,1,5.0,4.2,0
3.5,23,289,4,7387.88,2110,0,0,0,0,3,0.267559687258921,4028,5983,9615,21145,51689,0,91.0,4.6,0
1.99,33,244,1,8707.08,4360,0,0,0,0,0,0.335243557527154,6980,9075,16155,30069,60569,0,3.0,2.7,0
0.99,26,607,1,1798.83,1817,0,0,0,0,0,-0.0293534765297541,5653,6835,9997,16511,27484,1,8.0,4.1,0
1.5,39,96,1,2619.1,1746,1,0,1,0,3,0.554502980040598,4514,9710,26852,49038,89142,1,7.0,4.4,0
0.99,26,182,1,1192.95,1205,1,1,1,2,2,0.560633918161724,2463,3652,6071,11422,20992,0,7.0,4.0,0
